Threshold	FP Rate	TP Rate
0.000000	0.000000	0.000000
4.163424	0.000000	0.000000
8.326848	0.000000	0.000000
12.490272	0.000000	0.000000
16.653696	0.000000	0.000000
20.817120	0.000000	0.000000
24.980544	0.000000	0.000000
29.143969	0.000000	0.000000
33.307393	0.000000	0.001587
37.470817	0.000000	0.003175
41.634241	0.000000	0.006349
45.797665	0.000000	0.007937
49.961089	0.000000	0.009524
54.124513	0.000000	0.012698
58.287937	0.000000	0.025397
62.451361	0.000000	0.033333
66.614785	0.000000	0.039683
70.778209	0.000000	0.052381
74.941633	0.000000	0.066667
79.105057	0.000000	0.077778
83.268481	0.000000	0.098413
87.431906	0.000000	0.128571
91.595330	0.000000	0.155556
95.758754	0.001894	0.193651
99.922178	0.001894	0.223810
104.085602	0.003788	0.263492
108.249026	0.003788	0.298413
112.412450	0.003788	0.336508
116.575874	0.003788	0.374603
120.739298	0.005682	0.414286
124.902722	0.005682	0.439683
129.066146	0.007576	0.465079
133.229570	0.009470	0.492063
137.392994	0.011364	0.522222
141.556418	0.013258	0.547619
145.719843	0.015152	0.569841
149.883267	0.015152	0.598413
154.046691	0.018939	0.612698
158.210115	0.022727	0.636508
162.373539	0.022727	0.657143
166.536963	0.024621	0.669841
170.700387	0.026515	0.690476
174.863811	0.026515	0.717460
179.027235	0.032197	0.738095
183.190659	0.035985	0.753968
187.354083	0.039773	0.769841
191.517507	0.039773	0.788889
195.680931	0.043561	0.801587
199.844355	0.045455	0.811111
204.007780	0.051136	0.822222
208.171204	0.060606	0.828571
212.334628	0.068182	0.834921
216.498052	0.077652	0.846032
220.661476	0.085227	0.853968
224.824900	0.096591	0.863492
228.988324	0.100379	0.876190
233.151748	0.111742	0.882540
237.315172	0.126894	0.892063
241.478596	0.149621	0.898413
245.642020	0.157197	0.904762
249.805444	0.170455	0.909524
253.968868	0.179924	0.914286
258.132292	0.189394	0.923810
262.295717	0.210227	0.928571
266.459141	0.217803	0.933333
270.622565	0.231061	0.938095
274.785989	0.259470	0.941270
278.949413	0.282197	0.942857
283.112837	0.301136	0.944444
287.276261	0.321970	0.947619
291.439685	0.344697	0.952381
295.603109	0.375000	0.961905
299.766533	0.405303	0.965079
303.929957	0.439394	0.968254
308.093381	0.477273	0.969841
312.256805	0.490530	0.969841
316.420229	0.513258	0.971429
320.583654	0.553030	0.973016
324.747078	0.587121	0.974603
328.910502	0.607955	0.979365
333.073926	0.642045	0.982540
337.237350	0.683712	0.985714
341.400774	0.715909	0.992063
345.564198	0.753788	0.992063
349.727622	0.797348	0.992063
353.891046	0.840909	0.992063
358.054470	0.859848	0.992063
362.217894	0.880682	0.992063
366.381318	0.893939	0.992063
370.544742	0.914773	0.993651
374.708166	0.933712	0.996825
378.871591	0.954545	0.998413
383.035015	0.969697	0.998413
387.198439	0.975379	0.998413
391.361863	0.982955	1.000000
395.525287	0.990530	1.000000
399.688711	0.992424	1.000000
403.852135	0.994318	1.000000
408.015559	0.996212	1.000000
412.178983	0.998106	1.000000
416.342407	0.998106	1.000000
420.505831	1.000000	1.000000
