Threshold	FP Rate	TP Rate
0.000000	0.000000	0.000000
0.010000	0.000000	0.000000
0.020000	0.000000	0.000000
0.029999	0.000000	0.000000
0.039999	0.000000	0.000000
0.049999	0.000000	0.000903
0.059999	0.000000	0.004513
0.069999	0.000000	0.012635
0.079999	0.000000	0.024368
0.089998	0.000000	0.042419
0.099998	0.000000	0.069495
0.109998	0.000000	0.092058
0.119998	0.000000	0.124549
0.129998	0.000000	0.158845
0.139998	0.000000	0.197653
0.149997	0.000000	0.235560
0.159997	0.000000	0.260830
0.169997	0.000000	0.288809
0.179997	0.000000	0.314982
0.189997	0.000000	0.344765
0.199997	0.000000	0.370939
0.209996	0.000000	0.395307
0.219996	0.000000	0.427798
0.229996	0.000000	0.451264
0.239996	0.000000	0.471119
0.249996	0.000000	0.496390
0.259996	0.000000	0.519856
0.269995	0.000000	0.539711
0.279995	0.000000	0.562274
0.289995	0.000000	0.581227
0.299995	0.000000	0.609206
0.309995	0.000000	0.630866
0.319995	0.000000	0.654332
0.329994	0.000000	0.682310
0.339994	0.000000	0.695848
0.349994	0.000000	0.702166
0.359994	0.000000	0.713899
0.369994	0.000000	0.730144
0.379994	0.000000	0.749097
0.389993	0.000000	0.761733
0.399993	0.000000	0.773466
0.409993	0.000000	0.787906
0.419993	0.000000	0.802347
0.429993	0.000000	0.807762
0.439993	0.000000	0.816787
0.449992	0.000000	0.825812
0.459992	0.000000	0.836643
0.469992	0.000000	0.845668
0.479992	0.000000	0.854693
0.489992	0.000000	0.862816
0.499992	0.000000	0.869134
0.509991	0.000000	0.875451
0.519991	0.000000	0.885379
0.529991	0.000000	0.889892
0.539991	0.000000	0.894404
0.549991	0.000000	0.900722
0.559991	0.000000	0.909747
0.569990	0.000000	0.911552
0.579990	0.000000	0.916065
0.589990	0.000000	0.919675
0.599990	0.000000	0.925090
0.609990	0.000000	0.930505
0.619990	0.000000	0.934116
0.629989	0.000000	0.935921
0.639989	0.000000	0.936823
0.649989	0.000000	0.941336
0.659989	0.000666	0.947653
0.669989	0.000666	0.952166
0.679988	0.000666	0.955776
0.689988	0.000666	0.956679
0.699988	0.000666	0.959386
0.709988	0.000666	0.963899
0.719988	0.000666	0.964801
0.729988	0.001332	0.965704
0.739987	0.001997	0.968412
0.749987	0.001997	0.970217
0.759987	0.001997	0.972924
0.769987	0.001997	0.973827
0.779987	0.001997	0.976534
0.789987	0.001997	0.976534
0.799986	0.005326	0.976534
0.809986	0.008655	0.977437
0.819986	0.015313	0.978339
0.829986	0.019973	0.978339
0.839986	0.024634	0.984657
0.849986	0.034621	0.984657
0.859985	0.045273	0.984657
0.869985	0.058589	0.985560
0.879985	0.074567	0.985560
0.889985	0.092543	0.986462
0.899985	0.114514	0.986462
0.909985	0.148469	0.989170
0.919984	0.175100	0.990072
0.929984	0.216378	0.991877
0.939984	0.274967	0.995487
0.949984	0.339547	0.997292
0.959984	0.421438	0.997292
0.969984	0.524634	0.998195
0.979983	0.655792	0.998195
0.989983	0.797603	0.999097
0.999983	0.999334	1.000000
1.009983	1.000000	1.000000
